table_schema,table_name,column_name,data_type,is_nullable,column_default
public,activity_logs,id,uuid,NO,gen_random_uuid()
public,activity_logs,client_id,uuid,YES,null
public,activity_logs,brand_id,uuid,YES,null
public,activity_logs,lead_id,uuid,YES,null
public,activity_logs,company_id,uuid,YES,null
public,activity_logs,user_id,uuid,YES,null
public,activity_logs,activity_type,text,NO,null
public,activity_logs,description,text,YES,null
public,activity_logs,metadata,jsonb,YES,'{}'::jsonb
public,activity_logs,created_at,timestamp with time zone,YES,now()
public,api_quota_counters,id,uuid,NO,gen_random_uuid()
public,api_quota_counters,source_id,uuid,NO,null
public,api_quota_counters,window_start,timestamp with time zone,NO,null
public,api_quota_counters,request_count,integer,NO,0
public,api_rate_limit,id,uuid,NO,gen_random_uuid()
public,api_rate_limit,api_key_id,uuid,NO,null
public,api_rate_limit,window_start,timestamp with time zone,NO,"date_trunc('minute'::text, now())"
public,api_rate_limit,request_count,integer,NO,0
public,api_usage_logs,id,uuid,NO,gen_random_uuid()
public,api_usage_logs,client_id,uuid,YES,null
public,api_usage_logs,api_key_id,uuid,YES,null
public,api_usage_logs,endpoint,text,NO,null
public,api_usage_logs,method,text,NO,null
public,api_usage_logs,status_code,integer,YES,null
public,api_usage_logs,response_time_ms,integer,YES,null
public,api_usage_logs,rate_limited,boolean,YES,false
public,api_usage_logs,ip_address,inet,YES,null
public,api_usage_logs,user_agent,text,YES,null
public,api_usage_logs,created_at,timestamp with time zone,NO,now()
public,audit_logs,id,uuid,NO,gen_random_uuid()
public,audit_logs,client_id,uuid,YES,null
public,audit_logs,actor_id,text,YES,null
public,audit_logs,actor_email,text,YES,null
public,audit_logs,actor_type,text,YES,'system'::text
public,audit_logs,action,text,NO,null
public,audit_logs,resource_type,text,YES,null
public,audit_logs,resource_id,text,YES,null
public,audit_logs,changes,jsonb,YES,null
public,audit_logs,metadata,jsonb,YES,null
public,audit_logs,ip_address,inet,YES,null
public,audit_logs,user_agent,text,YES,null
public,audit_logs,created_at,timestamp with time zone,NO,now()
public,blacklist,id,uuid,NO,uuid_generate_v4()
public,blacklist,domain,text,YES,null
public,blacklist,email,USER-DEFINED,YES,null
public,blacklist,reason,text,YES,null
public,blacklist,created_at,timestamp with time zone,YES,now()
public,brand_discovery_sources,id,uuid,NO,gen_random_uuid()
public,brand_discovery_sources,brand_id,uuid,NO,null
public,brand_discovery_sources,name,text,NO,null
public,brand_discovery_sources,type,text,NO,null
public,brand_discovery_sources,config,jsonb,YES,null
public,brand_discovery_sources,is_active,boolean,YES,true
public,brand_discovery_sources,rate_limit_per_min,integer,YES,10
public,brand_discovery_sources,last_run_at,timestamp with time zone,YES,null
public,brand_discovery_sources,last_status,text,YES,null
public,brand_discovery_sources,created_at,timestamp with time zone,YES,now()
public,brand_discovery_sources,execution_mode,text,YES,'pull'::text
public,brand_discovery_sources,schedule_cron,text,YES,null
public,brand_discovery_sources,retry_count,integer,NO,0
public,brand_discovery_sources,next_attempt_at,timestamp with time zone,YES,null
public,brand_discovery_sources,is_running,boolean,NO,false
public,brand_discovery_sources,last_error,text,YES,null
public,brand_discovery_sources,client_id,uuid,YES,null
public,brand_intents,id,uuid,NO,gen_random_uuid()
public,brand_intents,brand_id,uuid,NO,null
public,brand_intents,intent,text,NO,null
public,brand_intents,signals,jsonb,NO,'[]'::jsonb
public,brand_intents,priority,integer,YES,1
public,brand_intents,is_active,boolean,YES,true
public,brand_intents,created_at,timestamp with time zone,YES,now()
public,brand_profiles,id,uuid,NO,gen_random_uuid()
public,brand_profiles,client_id,uuid,YES,null
public,brand_profiles,product,text,NO,null
public,brand_profiles,brand_name,text,NO,null
public,brand_profiles,positioning,text,YES,null
public,brand_profiles,core_offer,text,YES,null
public,brand_profiles,tone,text,YES,null
public,brand_profiles,audience,text,YES,null
public,brand_profiles,objection_guidelines,text,YES,null
public,brand_profiles,negotiation_style,text,YES,null
public,brand_profiles,smtp_host,text,YES,null
public,brand_profiles,smtp_port,integer,YES,null
public,brand_profiles,smtp_secure,boolean,YES,false
public,brand_profiles,smtp_email,text,YES,null
public,brand_profiles,smtp_password,text,YES,null
public,brand_profiles,imap_host,text,YES,null
public,brand_profiles,imap_port,integer,YES,null
public,brand_profiles,imap_secure,boolean,YES,false
public,brand_profiles,imap_email,text,YES,null
public,brand_profiles,imap_password,text,YES,null
public,brand_profiles,provider,text,YES,'smtp'::text
public,brand_profiles,provider_api_key,text,YES,null
public,brand_profiles,sending_domain,text,YES,null
public,brand_profiles,webhook_secret,text,YES,null
public,brand_profiles,transport_mode,text,YES,'mailbox'::text
public,brand_profiles,reply_to_email,text,YES,null
public,brand_profiles,signature_block,text,YES,null
public,brand_profiles,daily_send_limit,integer,YES,null
public,brand_profiles,hourly_send_limit,integer,YES,null
public,brand_profiles,llm_model_override,text,YES,null
public,brand_profiles,llm_temperature,numeric,YES,null
public,brand_profiles,is_active,boolean,YES,true
public,brand_profiles,is_paused,boolean,YES,false
public,brand_profiles,auto_paused,boolean,YES,false
public,brand_profiles,imap_enabled,boolean,YES,false
public,brand_profiles,send_enabled,boolean,YES,true
public,brand_profiles,bounce_count,integer,YES,0
public,brand_profiles,sent_count,integer,YES,0
public,brand_profiles,complaint_count,integer,YES,0
public,brand_profiles,deliverability_score,numeric,YES,null
public,brand_profiles,last_deliverability_check,timestamp with time zone,YES,null
public,brand_profiles,discovery_enabled,boolean,YES,false
public,brand_profiles,discovery_daily_limit,integer,YES,100
public,brand_profiles,discovery_count_today,integer,YES,0
public,brand_profiles,last_discovery_date,date,YES,null
public,brand_profiles,outbound_enabled,boolean,YES,false
public,brand_profiles,manual_discovery_requested,boolean,YES,false
public,brand_profiles,qualification_threshold,integer,YES,60
public,brand_profiles,created_at,timestamp with time zone,YES,now()
public,brand_profiles,updated_at,timestamp with time zone,YES,now()
public,brand_profiles,email_signature,text,YES,null
public,brand_profiles,auto_reply_enabled,boolean,YES,false
public,brand_profiles,warmup_enabled,boolean,YES,false
public,brand_profiles,discovery_api_key,text,YES,null
public,brand_profiles_backup,id,uuid,YES,null
public,brand_profiles_backup,product,text,YES,null
public,brand_profiles_backup,brand_name,text,YES,null
public,brand_profiles_backup,positioning,text,YES,null
public,brand_profiles_backup,core_offer,text,YES,null
public,brand_profiles_backup,tone,text,YES,null
public,brand_profiles_backup,audience,text,YES,null
public,brand_profiles_backup,objection_guidelines,text,YES,null
public,brand_profiles_backup,negotiation_style,text,YES,null
public,brand_profiles_backup,smtp_host,text,YES,null
public,brand_profiles_backup,smtp_port,integer,YES,null
public,brand_profiles_backup,smtp_secure,boolean,YES,null
public,brand_profiles_backup,smtp_email,text,YES,null
public,brand_profiles_backup,smtp_password,text,YES,null
public,brand_profiles_backup,imap_host,text,YES,null
public,brand_profiles_backup,imap_port,integer,YES,null
public,brand_profiles_backup,imap_secure,boolean,YES,null
public,brand_profiles_backup,imap_email,text,YES,null
public,brand_profiles_backup,imap_password,text,YES,null
public,brand_profiles_backup,reply_to_email,text,YES,null
public,brand_profiles_backup,signature_block,text,YES,null
public,brand_profiles_backup,daily_send_limit,integer,YES,null
public,brand_profiles_backup,hourly_send_limit,integer,YES,null
public,brand_profiles_backup,llm_model_override,text,YES,null
public,brand_profiles_backup,llm_temperature,numeric,YES,null
public,brand_profiles_backup,is_active,boolean,YES,null
public,brand_profiles_backup,created_at,timestamp with time zone,YES,null
public,brand_profiles_backup,imap_enabled,boolean,YES,null
public,brand_profiles_backup,send_enabled,boolean,YES,null
public,brand_profiles_backup,bounce_count,integer,YES,null
public,brand_profiles_backup,sent_count,integer,YES,null
public,brand_profiles_backup,complaint_count,integer,YES,null
public,brand_profiles_backup,is_paused,boolean,YES,null
public,brand_profiles_backup,deliverability_score,numeric,YES,null
public,brand_profiles_backup,auto_paused,boolean,YES,null
public,brand_profiles_backup,last_deliverability_check,timestamp with time zone,YES,null
public,brand_profiles_backup,provider,text,YES,null
public,brand_profiles_backup,provider_api_key,text,YES,null
public,brand_profiles_backup,sending_domain,text,YES,null
public,brand_profiles_backup,webhook_secret,text,YES,null
public,brand_profiles_backup,transport_mode,text,YES,null
public,brand_profiles_backup,execution_state,text,YES,null
public,brand_profiles_backup,discovery_enabled,boolean,YES,null
public,brand_profiles_backup,outbound_enabled,boolean,YES,null
public,brand_profiles_backup,manual_discovery_requested,boolean,YES,null
public,brand_profiles_backup,client_id,uuid,YES,null
public,brand_profiles_backup,updated_at,timestamp with time zone,YES,null
public,campaign_analytics,id,uuid,NO,gen_random_uuid()
public,campaign_analytics,brand_id,uuid,YES,null
public,campaign_analytics,campaign_name,text,YES,null
public,campaign_analytics,date,date,NO,null
public,campaign_analytics,sent_count,integer,YES,0
public,campaign_analytics,delivered_count,integer,YES,0
public,campaign_analytics,opened_count,integer,YES,0
public,campaign_analytics,clicked_count,integer,YES,0
public,campaign_analytics,replied_count,integer,YES,0
public,campaign_analytics,bounced_count,integer,YES,0
public,campaign_analytics,unsubscribed_count,integer,YES,0
public,campaign_analytics,created_at,timestamp with time zone,YES,now()
public,circuit_breaker_state,id,uuid,NO,gen_random_uuid()
public,circuit_breaker_state,client_id,uuid,YES,null
public,circuit_breaker_state,entity_type,text,NO,null
public,circuit_breaker_state,entity_id,text,NO,null
public,circuit_breaker_state,failure_count,integer,YES,0
public,circuit_breaker_state,last_failure_at,timestamp with time zone,YES,null
public,circuit_breaker_state,last_failure_reason,text,YES,null
public,circuit_breaker_state,state,text,NO,'closed'::text
public,circuit_breaker_state,reset_at,timestamp with time zone,YES,null
public,circuit_breaker_state,created_at,timestamp with time zone,NO,now()
public,circuit_breaker_state,updated_at,timestamp with time zone,NO,now()
public,circuit_breaker_state,brand_id,uuid,YES,null
public,client_api_keys,id,uuid,NO,gen_random_uuid()
public,client_api_keys,client_id,uuid,NO,null
public,client_api_keys,name,text,NO,null
public,client_api_keys,key_hash,text,NO,null
public,client_api_keys,rate_limit_per_minute,integer,NO,60
public,client_api_keys,rate_limit_per_day,integer,NO,1000
public,client_api_keys,last_used_at,timestamp with time zone,YES,null
public,client_api_keys,usage_count,integer,NO,0
public,client_api_keys,is_active,boolean,NO,true
