schemaname,tablename,rls_enabled
public,activity_logs,true
public,api_quota_counters,true
public,api_rate_limit,true
public,api_usage_logs,true
public,audit_logs,true
public,blacklist,true
public,brand_discovery_sources,true
public,brand_intents,true
public,brand_profiles,true
public,brand_profiles_backup,true
public,campaign_analytics,true
public,circuit_breaker_state,true
public,client_api_keys,true
public,client_daily_send,true
public,client_hourly_send,true
public,client_members,true
public,client_settings,true
public,client_webhooks,true
public,clients,true
public,companies,true
public,daily_send_limits,true
public,daily_send_tracker,true
public,dead_letter_queue,true
public,dead_letters,true
public,discovered_companies,true
public,discovered_contacts,true
public,discovery_dead_letters,true
public,discovery_metrics,true
public,discovery_sources,true
public,edge_function_secrets,true
public,email_events,true
public,enrichment_metrics,true
public,inbound_events,true
public,inbound_message_claims,true
public,lead_company_map,true
public,lead_import_batches,true
public,leads,true
public,messages,true
public,negotiation_drafts,true
public,notification_preferences,true
public,opportunities,true
public,outbound_events,true
public,outreach,true
public,qualification,true
public,replies,true
public,research,true
public,scoring_versions,true
public,send_counters,true
public,sending_domains,true
public,sent_messages,true
public,signal_performance,true
public,signal_source_performance,true
public,suppression_list,true
public,system_flags,true
public,system_health,true
public,webhook_deliveries,true
