schemaname,tablename,indexname,indexdef
public,activity_logs,idx_activity_logs_client,"CREATE INDEX idx_activity_logs_client ON public.activity_logs USING btree (client_id, created_at)"
public,activity_logs,activity_logs_pkey,CREATE UNIQUE INDEX activity_logs_pkey ON public.activity_logs USING btree (id)
public,api_quota_counters,api_quota_counters_pkey,CREATE UNIQUE INDEX api_quota_counters_pkey ON public.api_quota_counters USING btree (id)
public,api_quota_counters,unique_source_window,"CREATE UNIQUE INDEX unique_source_window ON public.api_quota_counters USING btree (source_id, window_start)"
public,api_quota_counters,idx_api_quota_window,"CREATE INDEX idx_api_quota_window ON public.api_quota_counters USING btree (source_id, window_start)"
public,api_rate_limit,api_rate_limit_api_key_id_window_start_key,"CREATE UNIQUE INDEX api_rate_limit_api_key_id_window_start_key ON public.api_rate_limit USING btree (api_key_id, window_start)"
public,api_rate_limit,idx_api_rate_limit_key,"CREATE INDEX idx_api_rate_limit_key ON public.api_rate_limit USING btree (api_key_id, window_start)"
public,api_rate_limit,api_rate_limit_pkey,CREATE UNIQUE INDEX api_rate_limit_pkey ON public.api_rate_limit USING btree (id)
public,api_usage_logs,idx_api_usage_logs_client,CREATE INDEX idx_api_usage_logs_client ON public.api_usage_logs USING btree (client_id)
public,api_usage_logs,idx_api_usage_logs_endpoint,CREATE INDEX idx_api_usage_logs_endpoint ON public.api_usage_logs USING btree (endpoint)
public,api_usage_logs,idx_api_usage_logs_created,CREATE INDEX idx_api_usage_logs_created ON public.api_usage_logs USING btree (created_at DESC)
public,api_usage_logs,api_usage_logs_pkey,CREATE UNIQUE INDEX api_usage_logs_pkey ON public.api_usage_logs USING btree (id)
public,audit_logs,idx_audit_logs_created,CREATE INDEX idx_audit_logs_created ON public.audit_logs USING btree (created_at DESC)
public,audit_logs,audit_logs_pkey,CREATE UNIQUE INDEX audit_logs_pkey ON public.audit_logs USING btree (id)
public,audit_logs,idx_audit_logs_client,CREATE INDEX idx_audit_logs_client ON public.audit_logs USING btree (client_id)
public,audit_logs,idx_audit_logs_action,CREATE INDEX idx_audit_logs_action ON public.audit_logs USING btree (action)
public,blacklist,blacklist_pkey,CREATE UNIQUE INDEX blacklist_pkey ON public.blacklist USING btree (id)
public,blacklist,blacklist_email_unique,CREATE UNIQUE INDEX blacklist_email_unique ON public.blacklist USING btree (email)
public,blacklist,blacklist_domain_unique,CREATE UNIQUE INDEX blacklist_domain_unique ON public.blacklist USING btree (domain)
public,blacklist,idx_blacklist_domain,CREATE INDEX idx_blacklist_domain ON public.blacklist USING btree (domain)
public,blacklist,idx_blacklist_email,CREATE UNIQUE INDEX idx_blacklist_email ON public.blacklist USING btree (email)
public,brand_discovery_sources,idx_bds_brand,CREATE INDEX idx_bds_brand ON public.brand_discovery_sources USING btree (brand_id)
public,brand_discovery_sources,idx_bds_active,CREATE INDEX idx_bds_active ON public.brand_discovery_sources USING btree (brand_id) WHERE (is_active = true)
public,brand_discovery_sources,idx_bds_unique,"CREATE UNIQUE INDEX idx_bds_unique ON public.brand_discovery_sources USING btree (brand_id, name)"
public,brand_discovery_sources,brand_discovery_sources_pkey,CREATE UNIQUE INDEX brand_discovery_sources_pkey ON public.brand_discovery_sources USING btree (id)
public,brand_discovery_sources,idx_discovery_sources_ready,"CREATE INDEX idx_discovery_sources_ready ON public.brand_discovery_sources USING btree (brand_id, is_active, next_attempt_at) WHERE (is_active = true)"
public,brand_intents,brand_intents_pkey,CREATE UNIQUE INDEX brand_intents_pkey ON public.brand_intents USING btree (id)
public,brand_intents,idx_brand_intents_brand_id,CREATE INDEX idx_brand_intents_brand_id ON public.brand_intents USING btree (brand_id)
public,brand_intents,idx_brand_intents_active,CREATE INDEX idx_brand_intents_active ON public.brand_intents USING btree (is_active) WHERE (is_active = true)
public,brand_intents,brand_intent_unique,"CREATE UNIQUE INDEX brand_intent_unique ON public.brand_intents USING btree (brand_id, intent)"
public,brand_profiles,brand_profiles_pkey,CREATE UNIQUE INDEX brand_profiles_pkey ON public.brand_profiles USING btree (id)
public,brand_profiles,idx_brand_profiles_discovery_api_key,CREATE INDEX idx_brand_profiles_discovery_api_key ON public.brand_profiles USING btree (discovery_api_key) WHERE (discovery_api_key IS NOT NULL)
public,brand_profiles,idx_brand_profiles_outbound_enabled,CREATE INDEX idx_brand_profiles_outbound_enabled ON public.brand_profiles USING btree (outbound_enabled)
public,brand_profiles,idx_brand_profiles_discovery_enabled,CREATE INDEX idx_brand_profiles_discovery_enabled ON public.brand_profiles USING btree (discovery_enabled)
public,brand_profiles,idx_brand_profiles_is_paused,CREATE INDEX idx_brand_profiles_is_paused ON public.brand_profiles USING btree (is_paused)
public,brand_profiles,idx_brand_profiles_is_active,CREATE INDEX idx_brand_profiles_is_active ON public.brand_profiles USING btree (is_active)
public,brand_profiles,idx_brand_profiles_client,CREATE INDEX idx_brand_profiles_client ON public.brand_profiles USING btree (client_id)
public,campaign_analytics,campaign_analytics_pkey,CREATE UNIQUE INDEX campaign_analytics_pkey ON public.campaign_analytics USING btree (id)
public,circuit_breaker_state,circuit_breaker_state_pkey,CREATE UNIQUE INDEX circuit_breaker_state_pkey ON public.circuit_breaker_state USING btree (id)
public,circuit_breaker_state,circuit_breaker_brand_unique,CREATE UNIQUE INDEX circuit_breaker_brand_unique ON public.circuit_breaker_state USING btree (brand_id) WHERE (brand_id IS NOT NULL)
public,circuit_breaker_state,idx_circuit_breaker_state,CREATE INDEX idx_circuit_breaker_state ON public.circuit_breaker_state USING btree (state)
public,circuit_breaker_state,idx_circuit_breaker_client,CREATE INDEX idx_circuit_breaker_client ON public.circuit_breaker_state USING btree (client_id)
public,circuit_breaker_state,circuit_breaker_state_client_id_entity_type_entity_id_key,"CREATE UNIQUE INDEX circuit_breaker_state_client_id_entity_type_entity_id_key ON public.circuit_breaker_state USING btree (client_id, entity_type, entity_id)"
public,client_api_keys,idx_client_api_keys_client,CREATE INDEX idx_client_api_keys_client ON public.client_api_keys USING btree (client_id) WHERE (is_active = true)
public,client_api_keys,client_api_keys_pkey,CREATE UNIQUE INDEX client_api_keys_pkey ON public.client_api_keys USING btree (id)
public,client_api_keys,client_api_keys_key_hash_key,CREATE UNIQUE INDEX client_api_keys_key_hash_key ON public.client_api_keys USING btree (key_hash)
